symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
0288.HK,Commerce & Industry,Commerce & Industry,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.2736,,0.2736,0,212,-0.0061,7.855,7.81,7.76,7.78,2026-08-13,3,False
1398.HK,Finance,Finance,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2727,0.2727,0.3217,154,976,0.0083,7.165,7.22,7.28,7.09,2026-08-14,3,False
0083.HK,Properties,Properties,RSI,RSI 加速上升,None,0.0,0.5525,0.261,,0.261,0,567,-0.001,10.26,10.25,10.24,10.16,2026-08-14,3,False
0902.HK,Utilities,Utilities,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.249,,0.249,0,7232,0.0028,5.745,5.76,5.78,5.69,2026-08-14,3,False
9988.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2364,0.2364,0.3474,55,3221,-0.0102,119.9,118.68,117.45,118.7,2026-08-14,3,False
1997.HK,Properties,Properties,BB,價格在 BB 中軌上方,None,0.0,0.425,0.2329,0.2329,0.2884,73,1158,-0.0029,31.92,31.83,31.73,31.6,2026-08-14,3,False
0003.HK,Utilities,Utilities,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2295,0.2295,0.249,122,7232,0.004,6.755,6.78,6.81,6.69,2026-08-12,3,False
2319.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2045,0.2045,0.3474,44,3221,-0.009,18.18,18.02,17.85,18.0,2026-08-14,3,False
0941.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2019,0.2019,0.3474,104,3221,0.0018,82.05,82.2,82.35,81.23,2026-08-14,3,False
0012.HK,Properties,Properties,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.1949,0.1949,0.2979,118,940,-0.0078,26.78,26.57,26.36,26.51,2026-08-14,3,False
0002.HK,Utilities,Utilities,RSI,RSI 加速上升,Consolidation Breakout,0.78,1.0,0.1896,,0.1896,0,633,0.0019,78.95,79.1,79.25,78.16,2026-08-14,3,False
