sector,signal,matched_pattern,has_pattern,volume_confirmed,count,win_rate,avg_return,improvement
Consumer Discretionary,KDJ 超賣區金叉,Bullish Harami,True,False,27,0.37037037037037035,0.006655764571130421,0.02026096117999837
Health Care,RSI 維持超買,Bearish Harami,True,True,10,0.5,0.00871045931077965,0.28042328042328046
Health Care,RSI 超賣區域 (30),Bullish Harami,True,True,17,0.47058823529411764,0.009828542502509198,0.18637770897832817
Health Care,價格跌破 EMA20,Evening Star,True,True,16,0.4375,0.00920205652883944,0.18665635545556808
Consumer Staples,MACD 金叉 (空頭區),None,False,True,33,0.42424242424242425,0.008956181993961497,0.19807118030058257
Consumer Staples,BB 突破上軌 (超買),Evening Star,True,True,5,0.8,0.03536887178010556,0.5900990099009902
Consumer Staples,價格突破 EMA20,Hammer,True,False,14,0.42857142857142855,0.00722680867947107,0.1772053083528493
Consumer Staples,價格跌破 EMA20,None,False,True,95,0.16842105263157894,-0.009587852040112758,-0.08115449915110357
Consumer Staples,RSI 超賣區域 (30),Morning Star,True,False,12,0.25,0.0036063267167525223,0.00602409638554216
Consumer Staples,EMA 黃金交叉 (20 上穿 50),None,False,True,19,0.21052631578947367,-0.0025007133051954443,-0.04989035087719301
Consumer Staples,BB 跌破下軌 (超賣),Bullish Engulfing,True,False,29,0.5862068965517241,0.0190109436033301,0.34211985776269854
Consumer Staples,EMA 死亡交叉 (20 下穿 50),None,False,True,23,0.30434782608695654,0.00045361570554582466,0.034232883558220906
Consumer Staples,BB 跌破下軌 (超賣),Hammer,True,False,13,0.23076923076923078,-0.003939162243815615,-0.013317808019794763
Consumer Staples,RSI 維持超賣,Support,True,False,6,0.5,0.023326888702184023,0.28270042194092826
Consumer Staples,MACD 跌破 0 軸,Bearish Engulfing,True,False,9,0.0,0.0001133191176612579,-0.2073170731707317
Consumer Staples,RSI 維持超買,Bearish Harami,True,False,58,0.15517241379310345,-0.005841303290778131,-0.03607182583823296
Consumer Staples,RSI 維持超買,Shooting Star,True,False,58,0.1724137931034483,0.002551538802432107,-0.018830446527888123
Consumer Staples,RSI 維持超買,Evening Star,True,False,54,0.2222222222222222,0.008785724656921632,0.0309779825908858
Consumer Staples,KDJ 超買區死叉,Evening Star,True,False,16,0.1875,0.000523076452983029,0.05772900763358779
Consumer Staples,BB 跌破下軌 (超賣),Bullish Engulfing,True,True,6,0.5,0.022293761165556297,0.25591296121097445
Consumer Staples,BB 跌破下軌 (超賣),Support,True,False,6,0.5,0.025704574787678024,0.25591296121097445
Consumer Staples,BB 突破上軌 (超買),Bearish Engulfing,True,True,9,0.5555555555555556,0.02077614677686988,0.3456545654565457
Consumer Staples,BB 突破上軌 (超買),Resistance,True,False,7,0.42857142857142855,0.027734960687800854,0.21867043847241865
Health Care,MACD 死叉 (空頭區),Bearish Engulfing,True,False,10,0.2,-0.015483989283218424,-0.06593406593406592
Health Care,RSI 維持超買,Evening Star,True,True,11,0.45454545454545453,0.010456778518553493,0.23496873496873497
Health Care,價格突破 EMA20,Morning Star,True,True,10,0.5,0.014642107439133972,0.21942826892535733
Health Care,RSI 超買區域 (70),Bearish Harami,True,True,12,0.4166666666666667,0.015262588317652157,0.209349593495935
Unknown,BB 跌破下軌 (超賣),None,False,False,339,0.3687315634218289,0.013964888274571674,0.0
Unknown,MACD 跌破 0 軸,None,False,True,22,0.45454545454545453,0.01875330228662383,0.18134957825679476
Unknown,BB 跌破下軌 (超賣),None,False,True,117,0.36752136752136755,0.011357209875860686,-0.0012101959004613416
Unknown,BB 跌破下軌 (超賣),Bullish Harami,True,True,10,0.5,0.023288074146794895,0.1312684365781711
Unknown,RSI 超賣區域 (30),None,False,False,84,0.4166666666666667,0.0144371516795589,0.0
Unknown,MACD 金叉 (空頭區),None,False,False,257,0.2529182879377432,-0.0007660416333996377,0.0
Unknown,MACD 死叉 (空頭區),None,False,False,133,0.24812030075187969,-0.014405042329855606,0.0
Unknown,BB 突破上軌 (超買),None,False,False,536,0.34328358208955223,0.0005582172419771877,0.0
Unknown,MACD 突破 0 軸,None,False,False,171,0.2573099415204678,-0.0002490308574851877,0.0
Unknown,KDJ 超買區死叉,None,False,False,55,0.45454545454545453,0.009479127496703679,0.0
Unknown,MACD 跌破 0 軸,None,False,False,194,0.27319587628865977,-0.007317805371401393,0.0
Unknown,MACD 金叉 (空頭區),None,False,True,40,0.35,0.026165044956027846,0.0970817120622568
Unknown,KDJ 超賣區金叉,None,False,False,316,0.29430379746835444,-0.0003491886421637126,0.0
Unknown,RSI 維持超賣,Morning Star,True,False,9,0.2222222222222222,0.007391501075675259,-0.07012750455373407
Unknown,KDJ 超賣區金叉,Morning Star,True,False,9,0.6666666666666666,0.024652644519672542,0.3723628691983122
Unknown,價格跌破 EMA20,None,False,False,376,0.30851063829787234,-0.002157600831610368,0.0
Unknown,價格突破 EMA20,None,False,False,374,0.22727272727272727,-0.005173575532117951,0.0
Unknown,EMA 黃金交叉 (20 上穿 50),None,False,False,42,0.38095238095238093,0.005805566924781874,0.0
Unknown,RSI 超買區域 (70),None,False,True,74,0.32432432432432434,-0.025281524142573973,-0.001916810427448734
Unknown,RSI 維持超買,None,False,False,573,0.29842931937172773,-0.004148280418729282,0.0
